TimeStart,TimeEnd,Length (s),File Name
10/14/2021 20:12:53.907,10/14/2021 20:42:55.274,1801.367,0097_Bridge05844A_afterpour_018.ASC
10/14/2021 20:42:55.274,10/14/2021 21:12:56.674,1801.400,0098_Bridge05844A_afterpour_019.ASC
10/14/2021 21:12:56.674,10/14/2021 21:42:58.167,1801.493,0099_Bridge05844A_afterpour_020.ASC
10/14/2021 21:42:58.167,10/14/2021 22:12:59.500,1801.333,0100_Bridge05844A_afterpour_021.ASC
10/14/2021 22:12:59.500,10/14/2021 22:43:00.980,1801.480,0101_Bridge05844A_afterpour_022.ASC
10/14/2021 22:43:00.980,10/14/2021 23:13:02.393,1801.413,0102_Bridge05844A_afterpour_023.ASC
10/14/2021 23:13:02.393,10/14/2021 23:43:03.786,1801.393,0103_Bridge05844A_afterpour_024.ASC
10/14/2021 23:43:03.786,10/15/2021 0:13:05.166,1801.380,0104_Bridge05844A_afterpour_025.ASC
10/15/2021 0:13:05.166,10/15/2021 0:43:06.546,1801.380,0105_Bridge05844A_afterpour_026.ASC
10/15/2021 0:43:06.546,10/15/2021 1:13:07.919,1801.373,0106_Bridge05844A_afterpour_027.ASC
10/15/2021 1:13:07.919,10/15/2021 1:43:09.292,1801.373,0107_Bridge05844A_afterpour_028.ASC
10/15/2021 1:43:09.292,10/15/2021 2:13:10.785,1801.493,0108_Bridge05844A_afterpour_029.ASC
10/15/2021 2:13:10.785,10/15/2021 2:43:12.158,1801.373,0109_Bridge05844A_afterpour_030.ASC
10/15/2021 2:43:12.158,10/15/2021 3:13:13.591,1801.433,0110_Bridge05844A_afterpour_031.ASC
10/15/2021 3:13:13.591,10/15/2021 3:43:14.978,1801.387,0111_Bridge05844A_afterpour_032.ASC
10/15/2021 3:43:14.978,10/15/2021 4:13:16.371,1801.393,0112_Bridge05844A_afterpour_033.ASC
10/15/2021 4:13:16.371,10/15/2021 4:43:17.771,1801.400,0113_Bridge05844A_afterpour_034.ASC
10/15/2021 4:43:17.771,10/15/2021 5:13:19.158,1801.387,0114_Bridge05844A_afterpour_035.ASC
10/15/2021 5:13:19.158,10/15/2021 5:43:20.565,1801.407,0115_Bridge05844A_afterpour_036.ASC
10/15/2021 5:43:20.565,10/15/2021 6:13:21.965,1801.400,0116_Bridge05844A_afterpour_037.ASC
10/15/2021 6:13:21.965,10/15/2021 6:43:23.338,1801.373,0117_Bridge05844A_afterpour_038.ASC
10/15/2021 6:43:23.338,10/15/2021 7:13:24.838,1801.500,0118_Bridge05844A_afterpour_039.ASC
10/15/2021 7:13:24.838,10/15/2021 7:43:26.198,1801.360,0119_Bridge05844A_afterpour_040.ASC
10/15/2021 7:43:26.198,10/15/2021 8:13:27.625,1801.427,0120_Bridge05844A_afterpour_041.ASC
10/15/2021 8:13:27.625,10/15/2021 8:43:29.052,1801.427,0121_Bridge05844A_afterpour_042.ASC
10/15/2021 8:43:29.052,10/15/2021 9:13:30.485,1801.433,0122_Bridge05844A_afterpour_043.ASC
10/15/2021 9:13:30.485,10/15/2021 9:43:31.805,1801.320,0123_Bridge05844A_afterpour_044.ASC
10/15/2021 9:43:31.805,10/15/2021 10:13:33.265,1801.460,0124_Bridge05844A_afterpour_045.ASC
10/15/2021 10:13:33.265,10/15/2021 10:43:34.605,1801.340,0125_Bridge05844A_afterpour_046.ASC
10/15/2021 10:43:34.605,10/15/2021 11:13:36.072,1801.467,0126_Bridge05844A_afterpour_047.ASC
10/15/2021 11:13:36.072,10/15/2021 11:43:37.425,1801.353,0127_Bridge05844A_afterpour_048.ASC
10/15/2021 11:43:37.425,10/15/2021 12:13:38.892,1801.467,0128_Bridge05844A_afterpour_049.ASC
10/15/2021 12:13:38.892,10/15/2021 12:43:40.232,1801.340,0129_Bridge05844A_afterpour_050.ASC
10/15/2021 12:43:40.232,10/15/2021 13:13:41.612,1801.380,0130_Bridge05844A_afterpour_051.ASC
10/15/2021 13:13:41.612,10/15/2021 13:43:43.092,1801.480,0131_Bridge05844A_afterpour_052.ASC
10/15/2021 13:43:43.092,10/15/2021 14:13:44.472,1801.380,0132_Bridge05844A_afterpour_053.ASC
10/15/2021 14:13:44.472,10/15/2021 14:43:45.899,1801.427,0133_Bridge05844A_afterpour_054.ASC
10/15/2021 14:43:45.899,10/15/2021 15:13:47.299,1801.400,0134_Bridge05844A_afterpour_055.ASC
10/15/2021 15:13:47.299,10/15/2021 15:43:48.679,1801.380,0135_Bridge05844A_afterpour_056.ASC
10/15/2021 15:43:48.679,10/15/2021 16:13:50.092,1801.413,0136_Bridge05844A_afterpour_057.ASC
10/15/2021 16:13:50.092,10/15/2021 16:43:51.459,1801.367,0137_Bridge05844A_afterpour_058.ASC
10/15/2021 16:43:51.459,10/15/2021 17:13:52.946,1801.487,0138_Bridge05844A_afterpour_059.ASC
10/15/2021 17:13:52.946,10/15/2021 17:43:54.293,1801.347,0139_Bridge05844A_afterpour_060.ASC
10/15/2021 17:43:54.293,10/15/2021 18:13:55.766,1801.473,0140_Bridge05844A_afterpour_061.ASC
10/15/2021 18:13:55.766,10/15/2021 18:43:57.146,1801.380,0141_Bridge05844A_afterpour_062.ASC
10/15/2021 18:43:57.146,10/15/2021 19:13:58.566,1801.420,0142_Bridge05844A_afterpour_063.ASC
10/15/2021 19:13:58.566,10/15/2021 19:43:59.953,1801.387,0143_Bridge05844A_afterpour_064.ASC
10/15/2021 19:43:59.953,10/15/2021 20:14:01.333,1801.380,0144_Bridge05844A_afterpour_065.ASC
10/15/2021 20:14:01.333,10/15/2021 20:44:02.706,1801.373,0145_Bridge05844A_afterpour_066.ASC
10/15/2021 20:44:02.706,10/15/2021 21:14:04.193,1801.487,0146_Bridge05844A_afterpour_067.ASC
10/15/2021 21:14:04.193,10/15/2021 21:44:05.540,1801.347,0147_Bridge05844A_afterpour_068.ASC
10/15/2021 21:44:05.540,10/15/2021 22:14:07.000,1801.460,0148_Bridge05844A_afterpour_069.ASC
10/15/2021 22:14:07.000,10/15/2021 22:44:08.380,1801.380,0149_Bridge05844A_afterpour_070.ASC
10/15/2021 22:44:08.380,10/15/2021 23:14:09.760,1801.380,0150_Bridge05844A_afterpour_071.ASC
10/15/2021 23:14:09.760,10/15/2021 23:44:11.193,1801.433,0151_Bridge05844A_afterpour_072.ASC
10/15/2021 23:44:11.193,10/16/2021 0:14:12.533,1801.340,0152_Bridge05844A_afterpour_073.ASC
10/16/2021 0:14:12.533,10/16/2021 0:44:14.033,1801.500,0153_Bridge05844A_afterpour_074.ASC
10/16/2021 0:44:14.033,10/16/2021 1:14:15.386,1801.353,0154_Bridge05844A_afterpour_075.ASC
10/16/2021 1:14:15.386,10/16/2021 1:44:16.759,1801.373,0155_Bridge05844A_afterpour_076.ASC
10/16/2021 1:44:16.759,10/16/2021 2:14:18.239,1801.480,0156_Bridge05844A_afterpour_077.ASC
10/16/2021 2:14:18.239,10/16/2021 2:44:19.612,1801.373,0157_Bridge05844A_afterpour_078.ASC
10/16/2021 2:44:19.612,10/16/2021 3:14:20.992,1801.380,0158_Bridge05844A_afterpour_079.ASC
10/16/2021 3:14:20.992,10/16/2021 3:44:22.399,1801.407,0159_Bridge05844A_afterpour_080.ASC
10/16/2021 3:44:22.399,10/16/2021 4:14:23.806,1801.407,0160_Bridge05844A_afterpour_081.ASC
10/16/2021 4:14:23.806,10/16/2021 4:44:25.173,1801.367,0161_Bridge05844A_afterpour_082.ASC
10/16/2021 4:44:25.173,10/16/2021 5:14:26.686,1801.513,0162_Bridge05844A_afterpour_083.ASC
10/16/2021 5:14:26.686,10/16/2021 5:44:28.039,1801.353,0163_Bridge05844A_afterpour_084.ASC
10/16/2021 5:44:28.039,10/16/2021 6:14:29.399,1801.360,0164_Bridge05844A_afterpour_085.ASC
10/16/2021 6:14:29.399,10/16/2021 6:44:30.886,1801.487,0165_Bridge05844A_afterpour_086.ASC
10/16/2021 6:44:30.886,10/16/2021 7:14:32.273,1801.387,0166_Bridge05844A_afterpour_087.ASC
10/16/2021 7:14:32.273,10/16/2021 7:44:33.640,1801.367,0167_Bridge05844A_afterpour_088.ASC
10/16/2021 7:44:33.640,10/16/2021 8:14:35.133,1801.493,0168_Bridge05844A_afterpour_089.ASC
10/16/2021 8:14:35.133,10/16/2021 8:44:36.466,1801.333,0169_Bridge05844A_afterpour_090.ASC
10/16/2021 8:44:36.466,10/16/2021 9:14:37.833,1801.367,0170_Bridge05844A_afterpour_091.ASC
10/16/2021 9:14:37.833,10/16/2021 9:44:39.280,1801.447,0171_Bridge05844A_afterpour_092.ASC
10/16/2021 9:44:39.280,10/16/2021 10:14:40.667,1801.387,0172_Bridge05844A_afterpour_093.ASC
10/16/2021 10:14:40.667,10/16/2021 10:44:42.034,1801.367,0173_Bridge05844A_afterpour_094.ASC
10/16/2021 10:44:42.034,10/16/2021 11:14:43.507,1801.473,0174_Bridge05844A_afterpour_095.ASC
10/16/2021 11:14:43.507,10/16/2021 11:44:44.867,1801.360,0175_Bridge05844A_afterpour_096.ASC
10/16/2021 11:44:44.867,10/16/2021 12:14:46.314,1801.447,0176_Bridge05844A_afterpour_097.ASC
10/16/2021 12:14:46.314,10/16/2021 12:44:47.694,1801.380,0177_Bridge05844A_afterpour_098.ASC
10/16/2021 12:44:47.694,10/16/2021 13:14:49.074,1801.380,0178_Bridge05844A_afterpour_099.ASC
10/16/2021 13:14:49.074,10/16/2021 13:44:50.454,1801.380,0179_Bridge05844A_afterpour_100.ASC
10/16/2021 13:44:50.454,10/16/2021 14:14:51.934,1801.480,0180_Bridge05844A_afterpour_101.ASC
10/16/2021 14:14:51.934,10/16/2021 14:44:53.307,1801.373,0181_Bridge05844A_afterpour_102.ASC
10/16/2021 14:44:53.307,10/16/2021 15:14:54.674,1801.367,0182_Bridge05844A_afterpour_103.ASC
10/16/2021 15:14:54.674,10/16/2021 15:44:56.174,1801.500,0183_Bridge05844A_afterpour_104.ASC
10/16/2021 15:44:56.174,10/16/2021 16:14:57.541,1801.367,0184_Bridge05844A_afterpour_105.ASC
10/16/2021 16:14:57.541,10/16/2021 16:44:58.921,1801.380,0185_Bridge05844A_afterpour_106.ASC
10/16/2021 16:44:58.921,10/16/2021 17:15:00.281,1801.360,0186_Bridge05844A_afterpour_107.ASC
10/16/2021 17:15:00.281,10/16/2021 17:45:01.774,1801.493,0187_Bridge05844A_afterpour_108.ASC
10/16/2021 17:45:01.774,10/16/2021 18:15:03.147,1801.373,0188_Bridge05844A_afterpour_109.ASC
10/16/2021 18:15:03.147,10/16/2021 18:45:04.554,1801.407,0189_Bridge05844A_afterpour_110.ASC
10/16/2021 18:45:04.554,10/16/2021 19:15:05.974,1801.420,0190_Bridge05844A_afterpour_111.ASC
10/16/2021 19:15:05.974,10/16/2021 19:45:07.394,1801.420,0191_Bridge05844A_afterpour_112.ASC
10/16/2021 19:45:07.394,10/16/2021 20:15:08.741,1801.347,0192_Bridge05844A_afterpour_113.ASC
10/16/2021 20:15:08.741,10/16/2021 20:45:10.201,1801.460,0193_Bridge05844A_afterpour_114.ASC
10/16/2021 20:45:10.201,10/16/2021 21:15:11.608,1801.407,0194_Bridge05844A_afterpour_115.ASC
10/16/2021 21:15:11.608,10/16/2021 21:45:12.968,1801.360,0195_Bridge05844A_afterpour_116.ASC
10/16/2021 21:45:12.968,10/16/2021 22:15:14.401,1801.433,0196_Bridge05844A_afterpour_117.ASC
10/16/2021 22:15:14.401,10/16/2021 22:45:15.834,1801.433,0197_Bridge05844A_afterpour_118.ASC
10/16/2021 22:45:15.834,10/16/2021 23:15:17.167,1801.333,0198_Bridge05844A_afterpour_119.ASC
10/16/2021 23:15:17.167,10/16/2021 23:45:18.634,1801.467,0199_Bridge05844A_afterpour_120.ASC
10/16/2021 23:45:18.634,10/17/2021 0:15:20.054,1801.420,0200_Bridge05844A_afterpour_121.ASC
10/17/2021 0:15:20.054,10/17/2021 0:45:21.381,1801.327,0201_Bridge05844A_afterpour_122.ASC
10/17/2021 0:45:21.381,10/17/2021 1:15:22.821,1801.440,0202_Bridge05844A_afterpour_123.ASC
10/17/2021 1:15:22.821,10/17/2021 1:45:24.254,1801.433,0203_Bridge05844A_afterpour_124.ASC
10/17/2021 1:45:24.254,10/17/2021 2:15:25.581,1801.327,0204_Bridge05844A_afterpour_125.ASC
10/17/2021 2:15:25.581,10/17/2021 2:45:27.021,1801.440,0205_Bridge05844A_afterpour_126.ASC
10/17/2021 2:45:27.021,10/17/2021 3:15:28.481,1801.460,0206_Bridge05844A_afterpour_127.ASC
10/17/2021 3:15:28.481,10/17/2021 3:45:29.821,1801.340,0207_Bridge05844A_afterpour_128.ASC
10/17/2021 3:45:29.821,10/17/2021 4:15:31.248,1801.427,0208_Bridge05844A_afterpour_129.ASC
10/17/2021 4:15:31.248,10/17/2021 4:45:32.688,1801.440,0209_Bridge05844A_afterpour_130.ASC
10/17/2021 4:45:32.688,10/17/2021 5:15:34.015,1801.327,0210_Bridge05844A_afterpour_131.ASC
10/17/2021 5:15:34.015,10/17/2021 5:45:35.468,1801.453,0211_Bridge05844A_afterpour_132.ASC
10/17/2021 5:45:35.468,10/17/2021 6:15:36.881,1801.413,0212_Bridge05844A_afterpour_133.ASC
